Date,FBE
11/18/04,2.6
11/19/04,2.64
11/20/04,2.65
11/21/04,2.66
11/22/04,2.67
11/23/04,2.65
11/24/04,2.68
11/25/04,2.69
11/26/04,2.7
11/27/04,2.713333333
11/28/04,2.726666667
11/29/04,2.74
11/30/04,2.76
12/1/04,2.73
12/2/04,2.72
12/3/04,2.68
12/4/04,2.673333333
12/5/04,2.666666667
12/6/04,2.66
12/7/04,2.66
12/8/04,2.66
12/9/04,2.64
12/10/04,2.59
12/11/04,2.6
12/12/04,2.61
12/13/04,2.62
12/14/04,2.64
12/15/04,2.65
12/16/04,2.68
12/17/04,2.69
12/18/04,2.693333333
12/19/04,2.696666667
12/20/04,2.7
12/21/04,2.71
12/22/04,2.68
12/23/04,2.7
12/24/04,2.7025
12/25/04,2.705
12/26/04,2.7075
12/27/04,2.71
12/28/04,2.71
12/29/04,2.7
12/30/04,2.67
12/31/04,2.64
1/1/05,2.633333333
1/2/05,2.626666667
1/3/05,2.62
1/4/05,2.62
1/5/05,2.6
1/6/05,2.59
1/7/05,2.57
1/8/05,2.586666667
1/9/05,2.603333333
1/10/05,2.62
1/11/05,2.6
1/12/05,2.6
1/13/05,2.6
1/14/05,2.58
1/15/05,2.5775
1/16/05,2.575
1/17/05,2.5725
1/18/05,2.57
1/19/05,2.56
1/20/05,2.52
1/21/05,2.51
1/22/05,2.513333333
1/23/05,2.516666667
1/24/05,2.52
1/25/05,2.55
1/26/05,2.58
1/27/05,2.59
1/28/05,2.58
1/29/05,2.58
1/30/05,2.58
1/31/05,2.58
2/1/05,2.56
2/2/05,2.55
2/3/05,2.56
2/4/05,2.57
2/5/05,2.566666667
2/6/05,2.563333333
2/7/05,2.56
2/8/05,2.61
2/9/05,2.63
2/10/05,2.66
2/11/05,2.7
2/12/05,2.706666667
2/13/05,2.713333333
2/14/05,2.72
2/15/05,2.65
2/16/05,2.68
2/17/05,2.7
2/18/05,2.78
2/19/05,2.7875
2/20/05,2.795
2/21/05,2.8025
2/22/05,2.81
2/23/05,2.81
2/24/05,2.81
2/25/05,2.8
2/26/05,2.806666667
2/27/05,2.813333333
2/28/05,2.82
3/1/05,2.85
3/2/05,2.86
3/3/05,2.87
3/4/05,2.85
3/5/05,2.853333333
3/6/05,2.856666667
3/7/05,2.86
