Date,FBE,FBEDR,FFL,FFLDR,TBE,TBEDR,GOLD,GOLDDR,ETF,ETFDR
11/18/04,2.6,0.015384615,2.36,0.025423729,2.48,0.02016129,442,0.008144796,44.380001,0.009013024
11/19/04,2.64,0.003787879,2.42,0.004132231,2.53,0.003952569,445.6,0.001645721,44.779999,0.001265461
11/20/04,2.65,0.003773585,2.43,0.004115226,2.54,0.003937008,446.3333333,0.001643017,44.83666633,0.001263861
11/21/04,2.66,0.003759398,2.44,0.004098361,2.55,0.003921569,447.0666667,0.001640322,44.89333367,0.001262266
11/22/04,2.67,-0.007490637,2.45,-0.008163265,2.56,-0.0078125,447.8,0.000893256,44.950001,-0.00444941
11/23/04,2.65,0.011320755,2.43,0.004115226,2.54,0.007874016,448.2,0.000892459,44.75,0.006703888
11/24/04,2.68,0.003731343,2.44,0.004098361,2.56,0.00390625,448.6,0.005795809,45.049999,0.002663729
11/25/04,2.69,0.003717472,2.45,0.004081633,2.57,0.003891051,451.2,-0.000443262,45.17,0.002656653
11/26/04,2.7,0.004938272,2.46,0,2.58,0.002583979,451,0.000221729,45.290001,0.000809605
11/27/04,2.713333333,0.004914005,2.46,0,2.586666667,0.00257732,451.1,0.00022168,45.326668,0.00080895
11/28/04,2.726666667,0.004889976,2.46,0,2.593333333,0.002570694,451.2,0.000221631,45.363335,0.000808296
11/29/04,2.74,0.00729927,2.46,0,2.6,0.003846154,451.3,0.004653224,45.400002,-0.006167467
11/30/04,2.76,-0.010869565,2.46,-0.004065041,2.61,-0.007662835,453.4,-0.001102779,45.119999,0.005762456
12/1/04,2.73,-0.003663004,2.45,-0.012244898,2.59,-0.007722008,452.9,0.002870391,45.380001,-0.00947554
12/2/04,2.72,-0.014705882,2.42,-0.008264463,2.57,-0.011673152,454.2,-0.012109203,44.950001,0.014460445
12/3/04,2.68,-0.002487562,2.4,0.002777778,2.54,0,448.7,0.003268702,45.599998,-0.003143275
12/4/04,2.673333333,-0.002493766,2.406666667,0.002770083,2.54,0,450.1666667,0.003258053,45.45666467,-0.003153186
12/5/04,2.666666667,-0.0025,2.413333333,0.002762431,2.54,0,451.6333333,0.003247472,45.31333133,-0.00316316
12/6/04,2.66,0,2.42,0,2.54,0,453.1,-0.002869124,45.169998,-0.001328249
12/7/04,2.66,0,2.42,-0.016528926,2.54,-0.007874016,451.8,-0.032979194,45.110001,-0.024384903
12/8/04,2.66,-0.007518797,2.38,0.033613445,2.52,0.011904762,436.9,0.000457771,44.009998,-0.005226062
12/9/04,2.64,-0.018939394,2.46,-0.020325203,2.55,-0.019607843,437.1,-0.007092199,43.779999,-0.007766103
12/10/04,2.59,0.003861004,2.41,-0.001383126,2.5,0.001333333,434,0.000844854,43.439999,0.003606515
12/11/04,2.6,0.003846154,2.406666667,-0.001385042,2.503333333,0.001331558,434.3666667,0.000844141,43.596666,0.003593555
12/12/04,2.61,0.003831418,2.403333333,-0.001386963,2.506666667,0.001329787,434.7333333,0.000843429,43.753333,0.003580687
12/13/04,2.62,0.007633588,2.4,0,2.51,0.003984064,435.1,0.004596644,43.91,-0.008198611
12/14/04,2.64,0.003787879,2.4,-0.004166667,2.52,0,437.1,0.004346831,43.549999,0.010103399
12/15/04,2.65,0.011320755,2.39,0.012552301,2.52,0.011904762,439,0.001138952,43.990002,-0.007047101
12/16/04,2.68,0.003731343,2.42,0.012396694,2.55,0.007843137,439.5,-0.001365188,43.68,0.011675801
12/17/04,2.69,0.001239157,2.45,0.004081633,2.57,0.002594034,438.9,0.002734108,44.189999,0.001131485
12/18/04,2.693333333,0.001237624,2.46,0.004065041,2.576666667,0.002587322,440.1,0.002726653,44.23999933,0.001130206
12/19/04,2.696666667,0.001236094,2.47,0.004048583,2.583333333,0.002580645,441.3,0.002719239,44.28999967,0.001128931
12/20/04,2.7,0.003703704,2.48,-0.004032258,2.59,0,442.5,-0.003389831,44.34,-0.002706337
12/21/04,2.71,-0.011070111,2.47,0.004048583,2.59,-0.003861004,441,0,44.220001,-0.004522863
12/22/04,2.68,0.007462687,2.48,0.016129032,2.58,0.011627907,441,0.000226757,44.02,0.005679237
12/23/04,2.7,0.000925926,2.52,0.00297619,2.61,0.001915709,441.1,0,44.27,0.001185905
