Effective date ,S&P Cryptocurrency Broad Digital Market Index (USD)
2/28/17,100
3/1/17,102.93
3/2/17,108.62
3/3/17,108.78
3/6/17,108.92
3/7/17,105.78
3/8/17,98.74
3/9/17,102.54
3/10/17,109.4
3/13/17,110.7
3/14/17,111.7
3/15/17,114.09
3/16/17,111.46
3/17/17,109.48
3/20/17,101.91
3/21/17,107.3
3/22/17,99.19
3/23/17,101.76
3/24/17,100.31
3/27/17,103.09
3/28/17,104.05
3/29/17,106.15
3/30/17,106.15
3/31/17,109.15
4/3/17,113.76
4/4/17,113.43
4/5/17,113.31
4/6/17,115.52
4/7/17,116.33
4/10/17,117.75
4/11/17,118.68
4/12/17,120.08
4/13/17,118.2
4/14/17,118.24
4/17/17,119.2
4/18/17,120.44
4/19/17,120.71
4/20/17,122.56
4/21/17,124.04
4/24/17,126.29
4/25/17,128.6
4/26/17,132.32
4/27/17,137.65
4/28/17,139.85
5/1/17,152.2
5/2/17,156.61
5/3/17,161.45
5/4/17,173.29
5/5/17,173.58
5/8/17,187.72
5/9/17,193.03
5/10/17,197.39
5/11/17,201.86
5/12/17,187.52
5/15/17,196.45
5/16/17,204.29
5/17/17,214.71
5/18/17,218.53
5/19/17,232.03
5/22/17,266.55
5/23/17,274.66
5/24/17,304.11
5/25/17,293.57
5/26/17,280.52
5/29/17,289.84
5/30/17,288.63
5/31/17,301.19
6/1/17,310.27
6/2/17,310.61
6/5/17,342.96
6/6/17,361.57
6/7/17,357.89
6/8/17,353.02
6/9/17,368.16
6/12/17,373.21
6/13/17,407.63
6/14/17,381.38
6/15/17,342.41
6/16/17,374.46
6/19/17,385.13
6/20/17,400.52
6/21/17,367.49
6/22/17,380.13
6/23/17,385.73
6/26/17,300.41
6/27/17,324.84
6/28/17,363.23
6/29/17,357.18
6/30/17,346.46
7/3/17,347.07
7/4/17,346.75
7/5/17,351.78
7/6/17,346.45
7/7/17,329.87
7/10/17,302.88
7/11/17,277.82
7/12/17,304.03
7/13/17,288.54
7/14/17,274.03
7/17/17,260.39
7/18/17,303.56
7/19/17,273.71
7/20/17,323.81
7/21/17,318.71
7/24/17,337.16
7/25/17,298.92
7/26/17,298.55
7/27/17,306.7
7/28/17,314.64
7/31/17,323.99
8/1/17,334.22
8/2/17,325.19
8/3/17,335.28
8/4/17,336.76
8/7/17,396.41
8/8/17,414.38
8/9/17,407
8/10/17,417.06
8/11/17,422.81
8/14/17,466.71
8/15/17,445.99
8/16/17,472.06
8/17/17,472.43
8/18/17,456.39
8/21/17,467.2
8/22/17,472.06
8/23/17,475.95
8/24/17,487.15
8/25/17,494.11
8/28/17,509.43
8/29/17,538.08
8/30/17,542.06
8/31/17,560.73
9/1/17,580.74
9/4/17,512.23
9/5/17,511.58
9/6/17,533.95
9/7/17,531.19
9/8/17,478.62
9/11/17,478.06
9/12/17,475
9/13/17,435.93
9/14/17,377.69
9/15/17,418.05
9/18/17,456.57
9/19/17,443.7
9/20/17,448.18
9/21/17,408.48
9/22/17,406.33
9/25/17,448.41
9/26/17,445.69
9/27/17,476.28
9/28/17,469.13
9/29/17,466.01
10/2/17,483.32
10/3/17,469.5
10/4/17,465.19
10/5/17,479.89
10/6/17,481.09
10/9/17,505.59
10/10/17,516.28
10/11/17,516.52
10/12/17,548.77
10/13/17,577.14
10/16/17,593.8
10/17/17,580.24
10/18/17,552.37
10/19/17,571.49
10/20/17,600.36
10/23/17,577.93
10/24/17,574.24
10/25/17,566.62
10/26/17,581.93
10/27/17,572.09
